id,block,question,alt,nchset,species,asc_walleye,asc_yellowperch,asc_trout,asc_nobuy,choice,selection,price,origin,source,form,northcentral
1,2,1,1,4,Walleye,1,0,0,0,0,Trout,11,0,1,1,0
1,2,1,2,4,Yellow Perch,0,1,0,0,0,Trout,10,1,0,1,0
1,2,1,3,4,Trout,0,0,1,0,1,Trout,12,0,0,1,0
1,2,1,4,4,No Buy,0,0,0,1,0,Trout,0,0,0,0,0
1,2,2,1,4,Walleye,1,0,0,0,0,Trout,13,1,0,0,0
1,2,2,2,4,Yellow Perch,0,1,0,0,0,Trout,16,1,1,0,0
1,2,2,3,4,Trout,0,0,1,0,1,Trout,14,0,0,1,0
1,2,2,4,4,No Buy,0,0,0,1,0,Trout,0,0,0,0,0
1,2,3,1,4,Walleye,1,0,0,0,0,Trout,12,1,0,1,0
1,2,3,2,4,Yellow Perch,0,1,0,0,0,Trout,14,1,0,0,0
1,2,3,3,4,Trout,0,0,1,0,1,Trout,13,1,0,0,0
1,2,3,4,4,No Buy,0,0,0,1,0,Trout,0,0,0,0,0
1,2,4,1,4,Walleye,1,0,0,0,0,Yellow Perch,16,0,1,0,0
1,2,4,2,4,Yellow Perch,0,1,0,0,1,Yellow Perch,13,0,1,1,0
1,2,4,3,4,Trout,0,0,1,0,0,Yellow Perch,15,1,0,1,0
1,2,4,4,4,No Buy,0,0,0,1,0,Yellow Perch,0,0,0,0,0
1,2,5,1,4,Walleye,1,0,0,0,0,Trout,14,0,0,0,0
1,2,5,2,4,Yellow Perch,0,1,0,0,0,Trout,9,1,1,1,0
1,2,5,3,4,Trout,0,0,1,0,1,Trout,10,1,1,0,0
1,2,5,4,4,No Buy,0,0,0,1,0,Trout,0,0,0,0,0
1,2,6,1,4,Walleye,1,0,0,0,0,Trout,11,1,0,1,0
1,2,6,2,4,Yellow Perch,0,1,0,0,0,Trout,11,0,1,0,0
1,2,6,3,4,Trout,0,0,1,0,1,Trout,12,1,1,1,0
1,2,6,4,4,No Buy,0,0,0,1,0,Trout,0,0,0,0,0
2,2,1,1,4,Walleye,1,0,0,0,0,Trout,11,0,1,1,0
2,2,1,2,4,Yellow Perch,0,1,0,0,0,Trout,10,1,0,1,0
